ordernumber,orderdate,requireddate,shippeddate,status,comments,customernumber
10124,5/21/03 0:00,5/29/03 0:00,5/25/03 0:00,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,112
10125,5/21/03 0:00,5/27/03 0:00,5/24/03 0:00,Shipped,NULL,114
10126,5/28/03 0:00,6/7/03 0:00,6/2/03 0:00,Shipped,NULL,458
10127,6/3/03 0:00,6/9/03 0:00,6/6/03 0:00,Shipped,Customer requested special shippment. The instructions were passed along to the warehouse,151
10128,6/6/03 0:00,6/12/03 0:00,6/11/03 0:00,Shipped,NULL,141
10129,6/12/03 0:00,6/18/03 0:00,6/14/03 0:00,Shipped,NULL,324
10130,6/16/03 0:00,6/24/03 0:00,6/21/03 0:00,Shipped,NULL,198
10131,6/16/03 0:00,6/25/03 0:00,6/21/03 0:00,Shipped,NULL,447
10132,6/25/03 0:00,7/1/03 0:00,6/28/03 0:00,Shipped,NULL,323
10133,6/27/03 0:00,7/4/03 0:00,7/3/03 0:00,Shipped,NULL,141
10134,7/1/03 0:00,7/10/03 0:00,7/5/03 0:00,Shipped,NULL,250
10135,7/2/03 0:00,7/12/03 0:00,7/3/03 0:00,Shipped,NULL,124
10136,7/4/03 0:00,7/14/03 0:00,7/6/03 0:00,Shipped,Customer is interested in buying more Ferrari models,242
10137,7/10/03 0:00,7/20/03 0:00,7/14/03 0:00,Shipped,NULL,353
10138,7/7/03 0:00,7/16/03 0:00,7/13/03 0:00,Shipped,NULL,496
10139,7/16/03 0:00,7/23/03 0:00,7/21/03 0:00,Shipped,NULL,282
10140,7/24/03 0:00,8/2/03 0:00,7/30/03 0:00,Shipped,NULL,161
10141,8/1/03 0:00,8/9/03 0:00,8/4/03 0:00,Shipped,NULL,334
10142,8/8/03 0:00,8/16/03 0:00,8/13/03 0:00,Shipped,NULL,124
10143,8/10/03 0:00,8/18/03 0:00,8/12/03 0:00,Shipped,Can we deliver the new Ford Mustang models by end-of-quarter?,320
10144,8/13/03 0:00,8/21/03 0:00,8/14/03 0:00,Shipped,NULL,381
10145,8/25/03 0:00,9/2/03 0:00,8/31/03 0:00,Shipped,NULL,205
10146,9/3/03 0:00,9/13/03 0:00,9/6/03 0:00,Shipped,NULL,447
10147,9/5/03 0:00,9/12/03 0:00,9/9/03 0:00,Shipped,NULL,379
10148,9/11/03 0:00,9/21/03 0:00,9/15/03 0:00,Shipped,They want to reevaluate their terms agreement with Finance.,276
10149,9/12/03 0:00,9/18/03 0:00,9/17/03 0:00,Shipped,NULL,487
10150,9/19/03 0:00,9/27/03 0:00,9/21/03 0:00,Shipped,They want to reevaluate their terms agreement with Finance.,148
10151,9/21/03 0:00,9/30/03 0:00,9/24/03 0:00,Shipped,NULL,311
10152,9/25/03 0:00,10/3/03 0:00,10/1/03 0:00,Shipped,NULL,333
10153,9/28/03 0:00,10/5/03 0:00,10/3/03 0:00,Shipped,NULL,141
10154,10/2/03 0:00,10/12/03 0:00,10/8/03 0:00,Shipped,NULL,219
10155,10/6/03 0:00,10/13/03 0:00,10/7/03 0:00,Shipped,NULL,186
10156,10/8/03 0:00,10/17/03 0:00,10/11/03 0:00,Shipped,NULL,141
10157,10/9/03 0:00,10/15/03 0:00,10/14/03 0:00,Shipped,NULL,473
10158,10/10/03 0:00,10/18/03 0:00,10/15/03 0:00,Shipped,NULL,121
10159,10/10/03 0:00,10/19/03 0:00,10/16/03 0:00,Shipped,NULL,321
10160,10/11/03 0:00,10/17/03 0:00,10/17/03 0:00,Shipped,NULL,347
10161,10/17/03 0:00,10/25/03 0:00,10/20/03 0:00,Shipped,NULL,227
10162,10/18/03 0:00,10/26/03 0:00,10/19/03 0:00,Shipped,NULL,321
10163,10/20/03 0:00,10/27/03 0:00,10/24/03 0:00,Shipped,NULL,424
10164,10/21/03 0:00,10/30/03 0:00,10/23/03 0:00,Resolved,"This order was disputed, but resolved on 11/1/2003; Customer doesn't like the colors and precision of the models.",452
10165,10/22/03 0:00,10/31/03 0:00,12/26/03 0:00,Shipped,This order was on hold because customers's credit limit had been exceeded. Order will ship when payment is received,148
10166,10/21/03 0:00,10/30/03 0:00,10/27/03 0:00,Shipped,NULL,462
10167,10/23/03 0:00,10/30/03 0:00,,Cancelled,Customer called to cancel. The warehouse was notified in time and the order didn't ship. They have a new VP of Sales and are shifting their sales model. Our VP of Sales should contact them.,448
10168,10/28/03 0:00,11/3/03 0:00,11/1/03 0:00,Shipped,NULL,161
10169,11/4/03 0:00,11/14/03 0:00,11/9/03 0:00,Shipped,NULL,276
10170,11/4/03 0:00,11/12/03 0:00,11/7/03 0:00,Shipped,NULL,452
10171,11/5/03 0:00,11/13/03 0:00,11/7/03 0:00,Shipped,NULL,233
10172,11/5/03 0:00,11/14/03 0:00,11/11/03 0:00,Shipped,NULL,175
10173,11/5/03 0:00,11/15/03 0:00,11/9/03 0:00,Shipped,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches",278
10174,11/6/03 0:00,11/15/03 0:00,11/10/03 0:00,Shipped,NULL,333
10175,11/6/03 0:00,11/14/03 0:00,11/9/03 0:00,Shipped,NULL,324
10176,11/6/03 0:00,11/15/03 0:00,11/12/03 0:00,Shipped,NULL,386
10177,11/7/03 0:00,11/17/03 0:00,11/12/03 0:00,Shipped,NULL,344
10178,11/8/03 0:00,11/16/03 0:00,11/10/03 0:00,Shipped,Custom shipping instructions sent to warehouse,242
10179,11/11/03 0:00,11/17/03 0:00,11/13/03 0:00,Cancelled,Customer cancelled due to urgent budgeting issues. Must be cautious when dealing with them in the future. Since order shipped already we must discuss who would cover the shipping charges.,496
10180,11/11/03 0:00,11/19/03 0:00,11/14/03 0:00,Shipped,NULL,171
10181,11/12/03 0:00,11/19/03 0:00,11/15/03 0:00,Shipped,NULL,167
10182,11/12/03 0:00,11/21/03 0:00,11/18/03 0:00,Shipped,NULL,124
10183,11/13/03 0:00,11/22/03 0:00,11/15/03 0:00,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,339
10184,11/14/03 0:00,11/22/03 0:00,11/20/03 0:00,Shipped,NULL,484
10185,11/14/03 0:00,11/21/03 0:00,11/20/03 0:00,Shipped,NULL,320
10186,11/14/03 0:00,11/20/03 0:00,11/18/03 0:00,Shipped,They want to reevaluate their terms agreement with the VP of Sales,489
10187,11/15/03 0:00,11/24/03 0:00,11/16/03 0:00,Shipped,NULL,211
10188,11/18/03 0:00,11/26/03 0:00,11/24/03 0:00,Shipped,NULL,167
10189,11/18/03 0:00,11/25/03 0:00,11/24/03 0:00,Shipped,They want to reevaluate their terms agreement with Finance.,205
10190,11/19/03 0:00,11/29/03 0:00,11/20/03 0:00,Shipped,NULL,141
10191,11/20/03 0:00,11/30/03 0:00,11/24/03 0:00,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,259
10192,11/20/03 0:00,11/29/03 0:00,11/25/03 0:00,Shipped,NULL,363
10193,11/21/03 0:00,11/28/03 0:00,11/27/03 0:00,Shipped,NULL,471
10194,11/25/03 0:00,12/2/03 0:00,11/26/03 0:00,Shipped,NULL,146
10195,11/25/03 0:00,12/1/03 0:00,11/28/03 0:00,Shipped,NULL,319
10196,11/26/03 0:00,12/3/03 0:00,12/1/03 0:00,Shipped,NULL,455
10197,11/26/03 0:00,12/2/03 0:00,12/1/03 0:00,Shipped,Customer inquired about remote controlled models and gold models.,216
10198,11/27/03 0:00,12/6/03 0:00,12/3/03 0:00,Shipped,NULL,385
10199,12/1/03 0:00,12/10/03 0:00,12/6/03 0:00,Shipped,NULL,475
10200,12/1/03 0:00,12/9/03 0:00,12/6/03 0:00,Shipped,NULL,211
10201,12/1/03 0:00,12/11/03 0:00,12/2/03 0:00,Shipped,NULL,129
10202,12/2/03 0:00,12/9/03 0:00,12/6/03 0:00,Shipped,NULL,357
10203,12/2/03 0:00,12/11/03 0:00,12/7/03 0:00,Shipped,NULL,141
10204,12/2/03 0:00,12/10/03 0:00,12/4/03 0:00,Shipped,NULL,151
10205,12/3/03 0:00,12/9/03 0:00,12/7/03 0:00,Shipped, I need all the information I can get on our competitors.,141
10206,12/5/03 0:00,12/13/03 0:00,12/8/03 0:00,Shipped,Can we renegotiate this one?,202
10207,12/9/03 0:00,12/17/03 0:00,12/11/03 0:00,Shipped,Check on availability.,495
10208,1/2/04 0:00,1/11/04 0:00,1/4/04 0:00,Shipped,NULL,146
10209,1/9/04 0:00,1/15/04 0:00,1/12/04 0:00,Shipped,NULL,347
10210,1/12/04 0:00,1/22/04 0:00,1/20/04 0:00,Shipped,NULL,177
10211,1/15/04 0:00,1/25/04 0:00,1/18/04 0:00,Shipped,NULL,406
10212,1/16/04 0:00,1/24/04 0:00,1/18/04 0:00,Shipped,NULL,141
10213,1/22/04 0:00,1/28/04 0:00,1/27/04 0:00,Shipped,Difficult to negotiate with customer. We need more marketing materials,489
10214,1/26/04 0:00,2/4/04 0:00,1/29/04 0:00,Shipped,NULL,458
10215,1/29/04 0:00,2/8/04 0:00,2/1/04 0:00,Shipped,Customer requested that FedEx Ground is used for this shipping,475
10216,2/2/04 0:00,2/10/04 0:00,2/4/04 0:00,Shipped,NULL,256
10217,2/4/04 0:00,2/14/04 0:00,2/6/04 0:00,Shipped,NULL,166
10218,2/9/04 0:00,2/16/04 0:00,2/11/04 0:00,Shipped,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment",473
10219,2/10/04 0:00,2/17/04 0:00,2/12/04 0:00,Shipped,NULL,487
10220,2/12/04 0:00,2/19/04 0:00,2/16/04 0:00,Shipped,NULL,189
10221,2/18/04 0:00,2/26/04 0:00,2/19/04 0:00,Shipped,NULL,314
10222,2/19/04 0:00,2/27/04 0:00,2/20/04 0:00,Shipped,NULL,239
10223,2/20/04 0:00,2/29/04 0:00,2/24/04 0:00,Shipped,NULL,114
10224,2/21/04 0:00,3/2/04 0:00,2/26/04 0:00,Shipped,Customer has worked with some of our vendors in the past and is aware of their MSRP,171
10225,2/22/04 0:00,3/1/04 0:00,2/24/04 0:00,Shipped,NULL,298
10226,2/26/04 0:00,3/6/04 0:00,3/2/04 0:00,Shipped,NULL,239
10227,3/2/04 0:00,3/12/04 0:00,3/8/04 0:00,Shipped,NULL,146
10228,3/10/04 0:00,3/18/04 0:00,3/13/04 0:00,Shipped,NULL,173
10229,3/11/04 0:00,3/20/04 0:00,3/12/04 0:00,Shipped,NULL,124
10230,3/15/04 0:00,3/24/04 0:00,3/20/04 0:00,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,128
10231,3/19/04 0:00,3/26/04 0:00,3/25/04 0:00,Shipped,NULL,344
10232,3/20/04 0:00,3/30/04 0:00,3/25/04 0:00,Shipped,NULL,240
10233,3/29/04 0:00,4/4/04 0:00,4/2/04 0:00,Shipped,Customer requested special shippment. The instructions were passed along to the warehouse,328
10234,3/30/04 0:00,4/5/04 0:00,4/2/04 0:00,Shipped,NULL,412
10235,4/2/04 0:00,4/12/04 0:00,4/6/04 0:00,Shipped,NULL,260
10236,4/3/04 0:00,4/11/04 0:00,4/8/04 0:00,Shipped,NULL,486
10237,4/5/04 0:00,4/12/04 0:00,4/10/04 0:00,Shipped,NULL,181
10238,4/9/04 0:00,4/16/04 0:00,4/10/04 0:00,Shipped,NULL,145
10239,4/12/04 0:00,4/21/04 0:00,4/17/04 0:00,Shipped,NULL,311
10240,4/13/04 0:00,4/20/04 0:00,4/20/04 0:00,Shipped,NULL,177
10241,4/13/04 0:00,4/20/04 0:00,4/19/04 0:00,Shipped,NULL,209
10242,4/20/04 0:00,4/28/04 0:00,4/25/04 0:00,Shipped,Customer is interested in buying more Ferrari models,456
10243,4/26/04 0:00,5/3/04 0:00,4/28/04 0:00,Shipped,NULL,495
10244,4/29/04 0:00,5/9/04 0:00,5/4/04 0:00,Shipped,NULL,141
10245,5/4/04 0:00,5/12/04 0:00,5/9/04 0:00,Shipped,NULL,455
10246,5/5/04 0:00,5/13/04 0:00,5/6/04 0:00,Shipped,NULL,141
10247,5/5/04 0:00,5/11/04 0:00,5/8/04 0:00,Shipped,NULL,334
10248,5/7/04 0:00,5/14/04 0:00,,Cancelled,Order was mistakenly placed. The warehouse noticed the lack of documentation.,131
10249,5/8/04 0:00,5/17/04 0:00,5/11/04 0:00,Shipped,Can we deliver the new Ford Mustang models by end-of-quarter?,173
10250,5/11/04 0:00,5/19/04 0:00,5/15/04 0:00,Shipped,NULL,450
10251,5/18/04 0:00,5/24/04 0:00,5/24/04 0:00,Shipped,NULL,328
10252,5/26/04 0:00,6/4/04 0:00,5/29/04 0:00,Shipped,NULL,406
10253,6/1/04 0:00,6/9/04 0:00,6/2/04 0:00,Cancelled,"Customer disputed the order and we agreed to cancel it. We must be more cautions with this customer going forward, since they are very hard to please. We must cover the shipping fees.",201
10254,6/3/04 0:00,6/13/04 0:00,6/4/04 0:00,Shipped,Customer requested that DHL is used for this shipping,323
10255,6/4/04 0:00,6/12/04 0:00,6/9/04 0:00,Shipped,NULL,209
10256,6/8/04 0:00,6/16/04 0:00,6/10/04 0:00,Shipped,NULL,145
10257,6/14/04 0:00,6/24/04 0:00,6/15/04 0:00,Shipped,NULL,450
10258,6/15/04 0:00,6/25/04 0:00,6/23/04 0:00,Shipped,NULL,398
10259,6/15/04 0:00,6/22/04 0:00,6/17/04 0:00,Shipped,NULL,166
10260,6/16/04 0:00,6/22/04 0:00,,Cancelled,Customer heard complaints from their customers and called to cancel this order. Will notify the Sales Manager.,357
10261,6/17/04 0:00,6/25/04 0:00,6/22/04 0:00,Shipped,NULL,233
10262,6/24/04 0:00,7/1/04 0:00,,Cancelled,This customer found a better offer from one of our competitors. Will call back to renegotiate.,141
10263,6/28/04 0:00,7/4/04 0:00,7/2/04 0:00,Shipped,NULL,175
10264,6/30/04 0:00,7/6/04 0:00,7/1/04 0:00,Shipped,Customer will send a truck to our local warehouse on 7/1/2004,362
10265,7/2/04 0:00,7/9/04 0:00,7/7/04 0:00,Shipped,NULL,471
10266,7/6/04 0:00,7/14/04 0:00,7/10/04 0:00,Shipped,NULL,386
10267,7/7/04 0:00,7/17/04 0:00,7/9/04 0:00,Shipped,NULL,151
10268,7/12/04 0:00,7/18/04 0:00,7/14/04 0:00,Shipped,NULL,412
10269,7/16/04 0:00,7/22/04 0:00,7/18/04 0:00,Shipped,NULL,382
10270,7/19/04 0:00,7/27/04 0:00,7/24/04 0:00,Shipped,Can we renegotiate this one?,282
10271,7/20/04 0:00,7/29/04 0:00,7/23/04 0:00,Shipped,NULL,124
10272,7/20/04 0:00,7/26/04 0:00,7/22/04 0:00,Shipped,NULL,157
10273,7/21/04 0:00,7/28/04 0:00,7/22/04 0:00,Shipped,NULL,314
10274,7/21/04 0:00,7/29/04 0:00,7/22/04 0:00,Shipped,NULL,379
10275,7/23/04 0:00,8/2/04 0:00,7/29/04 0:00,Shipped,NULL,119
10276,8/2/04 0:00,8/11/04 0:00,8/8/04 0:00,Shipped,NULL,204
10277,8/4/04 0:00,8/12/04 0:00,8/5/04 0:00,Shipped,NULL,148
10278,8/6/04 0:00,8/16/04 0:00,8/9/04 0:00,Shipped,NULL,112
10279,8/9/04 0:00,8/19/04 0:00,8/15/04 0:00,Shipped,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches",141
10280,8/17/04 0:00,8/27/04 0:00,8/19/04 0:00,Shipped,NULL,249
10281,8/19/04 0:00,8/28/04 0:00,8/23/04 0:00,Shipped,NULL,157
10282,8/20/04 0:00,8/26/04 0:00,8/22/04 0:00,Shipped,NULL,124
10283,8/20/04 0:00,8/30/04 0:00,8/23/04 0:00,Shipped,NULL,260
10284,8/21/04 0:00,8/29/04 0:00,8/26/04 0:00,Shipped,Custom shipping instructions sent to warehouse,299
10285,8/27/04 0:00,9/4/04 0:00,8/31/04 0:00,Shipped,NULL,286
10286,8/28/04 0:00,9/6/04 0:00,9/1/04 0:00,Shipped,NULL,172
10287,8/30/04 0:00,9/6/04 0:00,9/1/04 0:00,Shipped,NULL,298
10288,9/1/04 0:00,9/11/04 0:00,9/5/04 0:00,Shipped,NULL,166
10289,9/3/04 0:00,9/13/04 0:00,9/4/04 0:00,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,167
10290,9/7/04 0:00,9/15/04 0:00,9/13/04 0:00,Shipped,NULL,198
10291,9/8/04 0:00,9/17/04 0:00,9/14/04 0:00,Shipped,NULL,448
10292,9/8/04 0:00,9/18/04 0:00,9/11/04 0:00,Shipped,They want to reevaluate their terms agreement with Finance.,131
10293,9/9/04 0:00,9/18/04 0:00,9/14/04 0:00,Shipped,NULL,249
10294,9/10/04 0:00,9/17/04 0:00,9/14/04 0:00,Shipped,NULL,204
10295,9/10/04 0:00,9/17/04 0:00,9/14/04 0:00,Shipped,They want to reevaluate their terms agreement with Finance.,362
10296,9/15/04 0:00,9/22/04 0:00,9/16/04 0:00,Shipped,NULL,415
10297,9/16/04 0:00,9/22/04 0:00,9/21/04 0:00,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,189
10298,9/27/04 0:00,10/5/04 0:00,10/1/04 0:00,Shipped,NULL,103
10299,9/30/04 0:00,10/10/04 0:00,10/1/04 0:00,Shipped,NULL,186
10300,10/4/03 0:00,10/13/03 0:00,10/9/03 0:00,Shipped,NULL,128
10301,10/5/03 0:00,10/15/03 0:00,10/8/03 0:00,Shipped,NULL,299
10302,10/6/03 0:00,10/16/03 0:00,10/7/03 0:00,Shipped,NULL,201
10303,10/6/04 0:00,10/14/04 0:00,10/9/04 0:00,Shipped,Customer inquired about remote controlled models and gold models.,484
10304,10/11/04 0:00,10/20/04 0:00,10/17/04 0:00,Shipped,NULL,256
10305,10/13/04 0:00,10/22/04 0:00,10/15/04 0:00,Shipped,Check on availability.,286
10306,10/14/04 0:00,10/21/04 0:00,10/17/04 0:00,Shipped,NULL,187
10307,10/14/04 0:00,10/23/04 0:00,10/20/04 0:00,Shipped,NULL,339
10308,10/15/04 0:00,10/24/04 0:00,10/20/04 0:00,Shipped,Customer requested that FedEx Ground is used for this shipping,319
10309,10/15/04 0:00,10/24/04 0:00,10/18/04 0:00,Shipped,NULL,121
10310,10/16/04 0:00,10/24/04 0:00,10/18/04 0:00,Shipped,NULL,259
10311,10/16/04 0:00,10/23/04 0:00,10/20/04 0:00,Shipped,Difficult to negotiate with customer. We need more marketing materials,141
10312,10/21/04 0:00,10/27/04 0:00,10/23/04 0:00,Shipped,NULL,124
10313,10/22/04 0:00,10/28/04 0:00,10/25/04 0:00,Shipped,Customer requested that FedEx Ground is used for this shipping,202
10314,10/22/04 0:00,11/1/04 0:00,10/23/04 0:00,Shipped,NULL,227
10315,10/29/04 0:00,11/8/04 0:00,10/30/04 0:00,Shipped,NULL,119
10316,11/1/04 0:00,11/9/04 0:00,11/7/04 0:00,Shipped,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment",240
10317,11/2/04 0:00,11/12/04 0:00,11/8/04 0:00,Shipped,NULL,161
10318,11/2/04 0:00,11/9/04 0:00,11/7/04 0:00,Shipped,NULL,157
10319,11/3/04 0:00,11/11/04 0:00,11/6/04 0:00,Shipped,Customer requested that DHL is used for this shipping,456
10320,11/3/04 0:00,11/13/04 0:00,11/7/04 0:00,Shipped,NULL,144
10321,11/4/04 0:00,11/12/04 0:00,11/7/04 0:00,Shipped,NULL,462
10322,11/4/04 0:00,11/12/04 0:00,11/10/04 0:00,Shipped,Customer has worked with some of our vendors in the past and is aware of their MSRP,363
10323,11/5/04 0:00,11/12/04 0:00,11/9/04 0:00,Shipped,NULL,128
10324,11/5/04 0:00,11/11/04 0:00,11/8/04 0:00,Shipped,NULL,181
10325,11/5/04 0:00,11/13/04 0:00,11/8/04 0:00,Shipped,NULL,121
10326,11/9/04 0:00,11/16/04 0:00,11/10/04 0:00,Shipped,NULL,144
10327,11/10/04 0:00,11/19/04 0:00,11/13/04 0:00,Resolved,Order was disputed and resolved on 12/1/04. The Sales Manager was involved. Customer claims the scales of the models don't match what was discussed.,145
10328,11/12/04 0:00,11/21/04 0:00,11/18/04 0:00,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,278
10329,11/15/04 0:00,11/24/04 0:00,11/16/04 0:00,Shipped,NULL,131
10330,11/16/04 0:00,11/25/04 0:00,11/21/04 0:00,Shipped,NULL,385
10331,11/17/04 0:00,11/23/04 0:00,11/23/04 0:00,Shipped,Customer requested special shippment. The instructions were passed along to the warehouse,486
10332,11/17/04 0:00,11/25/04 0:00,11/18/04 0:00,Shipped,NULL,187
10333,11/18/04 0:00,11/27/04 0:00,11/20/04 0:00,Shipped,NULL,129
10334,11/19/04 0:00,11/28/04 0:00,,On Hold,The outstaniding balance for this customer exceeds their credit limit. Order will be shipped when a payment is received.,144
10335,11/19/04 0:00,11/29/04 0:00,11/23/04 0:00,Shipped,NULL,124
10336,11/20/04 0:00,11/26/04 0:00,11/24/04 0:00,Shipped,Customer requested that DHL is used for this shipping,172
10337,11/21/04 0:00,11/30/04 0:00,11/26/04 0:00,Shipped,NULL,424
10338,11/22/04 0:00,12/2/04 0:00,11/27/04 0:00,Shipped,NULL,381
10339,11/23/04 0:00,11/30/04 0:00,11/30/04 0:00,Shipped,NULL,398
10340,11/24/04 0:00,12/1/04 0:00,11/25/04 0:00,Shipped,Customer is interested in buying more Ferrari models,216
10341,11/24/04 0:00,12/1/04 0:00,11/29/04 0:00,Shipped,NULL,382
10342,11/24/04 0:00,12/1/04 0:00,11/29/04 0:00,Shipped,NULL,114
10343,11/24/04 0:00,12/1/04 0:00,11/26/04 0:00,Shipped,NULL,353
10344,11/25/04 0:00,12/2/04 0:00,11/29/04 0:00,Shipped,NULL,350
10345,11/25/04 0:00,12/1/04 0:00,11/26/04 0:00,Shipped,NULL,103
10346,11/29/04 0:00,12/5/04 0:00,11/30/04 0:00,Shipped,NULL,112
10347,11/29/04 0:00,12/7/04 0:00,11/30/04 0:00,Shipped,Can we deliver the new Ford Mustang models by end-of-quarter?,114
10348,11/1/04 0:00,11/8/04 0:00,11/5/04 0:00,Shipped,NULL,458
10349,12/1/04 0:00,12/7/04 0:00,12/3/04 0:00,Shipped,NULL,151
10350,12/2/04 0:00,12/8/04 0:00,12/5/04 0:00,Shipped,NULL,141
10351,12/3/04 0:00,12/11/04 0:00,12/7/04 0:00,Shipped,NULL,324
10352,12/3/04 0:00,12/12/04 0:00,12/9/04 0:00,Shipped,NULL,198
10353,12/4/04 0:00,12/11/04 0:00,12/5/04 0:00,Shipped,NULL,447
10354,12/4/04 0:00,12/10/04 0:00,12/5/04 0:00,Shipped,NULL,323
10355,12/7/04 0:00,12/14/04 0:00,12/13/04 0:00,Shipped,NULL,141
10356,12/9/04 0:00,12/15/04 0:00,12/12/04 0:00,Shipped,NULL,250
10357,12/10/04 0:00,12/16/04 0:00,12/14/04 0:00,Shipped,NULL,124
10358,12/10/04 0:00,12/16/04 0:00,12/16/04 0:00,Shipped,Customer requested that DHL is used for this shipping,141
10359,12/15/04 0:00,12/23/04 0:00,12/18/04 0:00,Shipped,NULL,353
10360,12/16/04 0:00,12/22/04 0:00,12/18/04 0:00,Shipped,NULL,496
10361,12/17/04 0:00,12/24/04 0:00,12/20/04 0:00,Shipped,NULL,282
10362,1/5/05 0:00,1/16/05 0:00,1/10/05 0:00,Shipped,NULL,161
10363,1/6/05 0:00,1/12/05 0:00,1/10/05 0:00,Shipped,NULL,334
10364,1/6/05 0:00,1/17/05 0:00,1/9/05 0:00,Shipped,NULL,350
10365,1/7/05 0:00,1/18/05 0:00,1/11/05 0:00,Shipped,NULL,320
10366,1/10/05 0:00,1/19/05 0:00,1/12/05 0:00,Shipped,NULL,381
10367,1/12/05 0:00,1/21/05 0:00,1/16/05 0:00,Resolved,This order was disputed and resolved on 2/1/2005. Customer claimed that container with shipment was damaged. FedEx's investigation proved this wrong.,205
10368,1/19/05 0:00,1/27/05 0:00,1/24/05 0:00,Shipped,Can we renegotiate this one?,124
10369,1/20/05 0:00,1/28/05 0:00,1/24/05 0:00,Shipped,NULL,379
10370,1/20/05 0:00,2/1/05 0:00,1/25/05 0:00,Shipped,NULL,276
10371,1/23/05 0:00,2/3/05 0:00,1/25/05 0:00,Shipped,NULL,124
10372,1/26/05 0:00,2/5/05 0:00,1/28/05 0:00,Shipped,NULL,398
10373,1/31/05 0:00,2/8/05 0:00,2/6/05 0:00,Shipped,NULL,311
10374,2/2/05 0:00,2/9/05 0:00,2/3/05 0:00,Shipped,NULL,333
10375,2/3/05 0:00,2/10/05 0:00,2/6/05 0:00,Shipped,NULL,119
10376,2/8/05 0:00,2/18/05 0:00,2/13/05 0:00,Shipped,NULL,219
10377,2/9/05 0:00,2/21/05 0:00,2/12/05 0:00,Shipped,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches",186
10378,2/10/05 0:00,2/18/05 0:00,2/11/05 0:00,Shipped,NULL,141
10379,2/10/05 0:00,2/18/05 0:00,2/11/05 0:00,Shipped,NULL,141
10380,2/16/05 0:00,2/24/05 0:00,2/18/05 0:00,Shipped,NULL,141
10381,2/17/05 0:00,2/25/05 0:00,2/18/05 0:00,Shipped,NULL,321
10382,2/17/05 0:00,2/23/05 0:00,2/18/05 0:00,Shipped,Custom shipping instructions sent to warehouse,124
