customernumber,checknumber,paymentdate,amount
157,HI618861,11/19/04 0:00,44040.73
157,NN711988,9/7/04 0:00,71930.61
161,BR352384,11/14/04 0:00,2916.2
161,BR478494,11/18/03 0:00,62305.47
161,KG644125,2/2/05 0:00,13529.57
161,NI908214,8/5/03 0:00,42031.83
166,BQ327613,9/16/04 0:00,42902.84
166,DC979307,7/7/04 0:00,45788.72
166,LA318629,2/28/04 0:00,24219.59
167,ED743615,9/19/04 0:00,16363.1
167,GN228846,12/3/03 0:00,95277.18
171,GB878038,3/15/04 0:00,20178.13
171,IL104425,11/22/03 0:00,48874.28
172,AD832091,9/9/04 0:00,2173.6
172,CE51751,12/4/04 0:00,56812.67
172,EH208589,4/20/03 0:00,38217.41
173,GP545698,5/13/04 0:00,14380.92
173,IG462397,3/29/04 0:00,21782.7
175,IO448913,11/19/03 0:00,26115.8
175,PI15215,7/10/04 0:00,44130.52
177,AU750837,4/17/04 0:00,17114.43
177,CI381435,1/19/04 0:00,50490.64
181,CM564612,4/25/04 0:00,24804.34
181,GQ132144,1/30/03 0:00,6864.05
181,OH367219,11/16/04 0:00,56372.87
186,AE192287,3/10/05 0:00,26422.82
186,AK412714,10/27/03 0:00,42083.5
186,KA602407,10/21/04 0:00,42744.06
187,AM968797,11/3/04 0:00,57827.61
187,BQ39062,12/8/04 0:00,48962.28
187,KL124726,3/27/03 0:00,51017.92
189,BO711618,10/3/04 0:00,18971.96
189,NM916675,3/1/04 0:00,38784.47
198,FI192930,12/6/04 0:00,11528.53
198,HQ920205,7/6/03 0:00,7277.35
198,IS946883,9/21/04 0:00,7673.38
201,DP677013,10/20/03 0:00,26797.21
201,OO846801,6/15/04 0:00,50408.25
202,HI358554,12/18/03 0:00,38662.21
202,IQ627690,11/8/04 0:00,36576.71
204,GC697638,8/13/04 0:00,52505.36
204,IS150005,9/24/04 0:00,4692.6
205,GL756480,12/4/03 0:00,4512.48
205,LL562733,9/5/03 0:00,55776.12
205,NM739638,2/6/05 0:00,44273.36
209,ED520529,6/21/04 0:00,5416.9
209,PH785937,5/4/04 0:00,39341.23
211,BJ535230,12/9/03 0:00,48784.36
216,BG407567,5/9/03 0:00,4219.2
216,ML780814,12/6/04 0:00,21249.77
216,MM342086,12/14/03 0:00,44009.31
219,BN17870,3/2/05 0:00,3987.2
219,BR941480,10/18/03 0:00,5142.15
227,MQ413968,10/31/03 0:00,40321.61
227,NU21326,11/2/04 0:00,60273.94
233,II180006,7/1/04 0:00,24564.53
233,JG981190,11/18/03 0:00,15947.29
239,NQ865547,3/15/04 0:00,87489.23
240,IF245157,11/16/04 0:00,51334.16
240,JO719695,3/28/04 0:00,26906.68
242,AF40894,11/22/03 0:00,38098.24
242,HR224331,6/3/05 0:00,15139.12
242,KI744716,7/21/03 0:00,17251.08
249,IJ399820,9/19/04 0:00,38039
249,NE404084,9/4/04 0:00,56078.26
250,EQ12267,5/17/05 0:00,20321.53
250,HD284647,12/30/04 0:00,32623.93
250,HN114306,7/18/03 0:00,25624.88
256,EP227123,2/10/04 0:00,5759.42
256,HE84936,10/22/04 0:00,59074.88
259,EU280955,11/6/04 0:00,68943.4
259,GB361972,12/7/03 0:00,31363.18
260,IO164641,8/30/04 0:00,43332.35
260,NH776924,4/24/04 0:00,31302.5
276,EM979878,2/9/05 0:00,29852.17
276,KM841847,11/13/03 0:00,41791.95
276,LE432182,9/28/03 0:00,47191.76
276,OJ819725,4/30/05 0:00,35160.25
278,BJ483870,12/5/04 0:00,41696.69
278,GP636783,3/2/03 0:00,56181.32
278,NI983021,11/24/03 0:00,40077.71
282,IA793562,8/3/03 0:00,28397.26
282,JT819493,8/2/04 0:00,41297.14
282,OD327378,1/3/05 0:00,37905.15
286,DR578578,10/28/04 0:00,54251.66
286,KH910279,9/5/04 0:00,48828.72
298,AJ574927,3/13/04 0:00,50432.55
298,LF501133,9/18/04 0:00,67281.01
299,AD304085,10/24/03 0:00,45078.76
299,NR157385,9/5/04 0:00,34145.47
311,DG336041,2/15/05 0:00,49055.4
311,FA728475,10/6/03 0:00,37501.58
311,NQ966143,4/25/04 0:00,17813.4
314,LQ244073,8/9/04 0:00,47760.48
314,MD809704,3/3/04 0:00,18800.09
319,HL685576,11/6/04 0:00,46873.04
319,OM548174,12/7/03 0:00,38682.95
320,GJ597719,1/18/05 0:00,11021.3
320,HO576374,8/20/03 0:00,45738.39
320,MU817160,11/24/03 0:00,52191.44
321,DJ15149,11/3/03 0:00,95678.88
321,LA556321,3/15/05 0:00,54203.62
323,AL493079,5/23/05 0:00,39267.74
323,ES347491,6/24/04 0:00,40034.67
323,HG738664,7/5/03 0:00,2476.8
323,PQ803830,12/24/04 0:00,43930.62
324,DQ409197,12/13/04 0:00,13739.9
324,FP443161,7/7/03 0:00,32376.29
324,HB150714,11/23/03 0:00,42688.31
328,EN930356,4/16/04 0:00,8722.12
328,NR631421,5/30/04 0:00,27987.07
333,HL209210,11/15/03 0:00,27098.8
333,JK479662,10/17/03 0:00,10640.29
333,NF959653,3/1/05 0:00,21730.03
334,CS435306,1/27/05 0:00,51373.49
334,HH517378,8/16/03 0:00,31569.43
334,LF737277,5/22/04 0:00,31018.23
339,AP286625,10/24/04 0:00,27445.31
339,DA98827,11/28/03 0:00,40061.66
344,AF246722,11/24/03 0:00,34311.35
344,NJ906924,4/2/04 0:00,15330.7
347,DG700707,1/18/04 0:00,23889.32
347,LG808674,10/24/03 0:00,24159.14
350,BQ602907,12/11/04 0:00,20136.86
350,CI471510,5/25/03 0:00,52481.84
350,OB648482,1/29/05 0:00,2317.44
353,CO351193,1/10/05 0:00,48895.59
353,ED878227,7/21/03 0:00,15146.32
353,GT878649,5/21/03 0:00,18971.96
353,HJ618252,6/9/05 0:00,52029.07
357,AG240323,12/16/03 0:00,23294.8
357,NB291497,7/1/04 0:00,41418.55
362,FP170292,7/11/04 0:00,19548.35
362,OG208861,9/21/04 0:00,15344.64
363,HL575273,11/17/04 0:00,55570.6
363,IS232033,1/16/03 0:00,12133.25
363,PN238558,12/5/03 0:00,63981.45
379,CA762595,2/12/05 0:00,31474.78
379,FR499138,9/16/03 0:00,34992.4
379,GB890854,8/2/04 0:00,15110.8
381,BC726082,12/3/04 0:00,13463.48
381,CC475233,4/19/03 0:00,1711.26
381,GB117430,2/3/05 0:00,16628.16
381,MS154481,8/22/03 0:00,1637.2
382,CC871084,5/12/03 0:00,38629.14
382,CT821147,8/1/04 0:00,6693.28
382,PH29054,11/27/04 0:00,37353.16
385,BN347084,12/2/03 0:00,22841.96
385,CP804873,11/19/04 0:00,15928.75
385,EK785462,3/9/03 0:00,55245.02
386,DO106109,11/18/03 0:00,44669.74
386,HG438769,7/18/04 0:00,56421.65
398,AJ478695,2/14/05 0:00,38191.39
398,DO787644,6/21/04 0:00,25928.75
398,KB54275,11/29/04 0:00,44802.04
406,HJ217687,1/28/04 0:00,51172.65
406,NA197101,6/17/04 0:00,27931.21
412,GH197075,7/25/04 0:00,35911.81
412,PJ434867,4/14/04 0:00,36409.31
415,ER54537,9/28/04 0:00,34993.92
424,KF480160,12/7/04 0:00,27733.04
424,LM271923,4/16/03 0:00,24777.41
424,OA595449,10/31/03 0:00,25284.75
447,AO757239,9/15/03 0:00,7600.12
447,ER615123,6/25/03 0:00,20350.95
447,OU516561,12/17/04 0:00,29343.35
448,EQ620556,11/6/03 0:00,48710.92
448,FS299615,4/18/05 0:00,31606.72
448,KR822727,9/30/04 0:00,53941.69
450,EF485824,6/21/04 0:00,64600.34
452,ED473873,11/15/03 0:00,28550.59
452,FN640986,11/20/03 0:00,14938.15
452,HG635467,5/3/05 0:00,8775.16
455,HA777606,12/5/03 0:00,42498.76
455,IR662429,5/12/04 0:00,36973.31
456,GJ715659,11/13/04 0:00,31446.15
456,MO743231,4/30/04 0:00,1698.78
458,DD995006,11/15/04 0:00,34546.6
458,NA377824,2/6/04 0:00,24995.47
458,OO606861,6/13/03 0:00,61073.21
462,ED203908,4/15/05 0:00,37557.7
462,GC60330,11/8/03 0:00,11861.69
462,PE176846,11/27/04 0:00,49504.38
471,AB661578,7/28/04 0:00,12334.82
471,CO645196,12/10/03 0:00,37878.55
473,LL427009,2/17/04 0:00,7278.98
473,PC688499,10/27/03 0:00,21672.93
475,JP113227,12/9/03 0:00,8234.56
475,PB951268,2/13/04 0:00,37850.08
484,GK294076,10/26/04 0:00,3220.88
484,JH546765,11/29/03 0:00,51502.74
486,BL66528,4/14/04 0:00,7287.24
486,HS86661,11/23/04 0:00,48996.1
486,JB117768,3/20/03 0:00,27398.82
487,AH612904,9/28/03 0:00,34100.03
487,PT550181,2/29/04 0:00,16118.48
489,OC773849,12/4/03 0:00,27541.82
489,PO860906,1/31/04 0:00,8477.22
495,BH167026,12/26/03 0:00,63730.78
495,FN155234,5/14/04 0:00,7129
496,EU531600,6/25/05 0:00,34332.29
496,MB342426,7/16/03 0:00,37754.33
496,MN89921,12/31/04 0:00,58593.28
496,PL783960,11/29/03 0:00,26421.24
